countryId	countryName
2	Belice
3	Centroamerica
4	Colombia
5	Costa Rica
6	Ecuador
7	El Salvador
8	Guatemala
9	Haití
10	Honduras
11	México
12	Nicaragua
13	Panamá
14	Perú
15	República Dominicana
16	Venezuela
17	Antigua
18	Aruba
19	Bahamas
20	Barbados
21	Bermuda
22	Cayman Islands
23	Grenada
24	Guyana
25	Jamaica
26	Bonaire, AN
27	Curaçao, AN
28	St Maarten, AN
29	St Lucia
30	St Vincent
31	Suriname
32	Trinidad & Tobago
33	Turks & Caicos Islands
34	Virgin Islands, British
35	St Kitts and Nevis
36	West Indies
37	Bolivia
38	Chile
